Dataset,Feature_Noise,Label_Noise,Model,k,weights,max_depth,min_samples_split,C,max_iter,Train Acc,Test Acc
breast_cancer,Clean,0%,KNN,3.0,uniform,,,,,0.978021978021978,0.9824561403508771
breast_cancer,Clean,0%,KNN,3.0,distance,,,,,1.0,0.9824561403508771
breast_cancer,Clean,0%,KNN,5.0,uniform,,,,,0.9736263736263736,0.956140350877193
breast_cancer,Clean,0%,KNN,5.0,distance,,,,,1.0,0.956140350877193
breast_cancer,Clean,0%,KNN,7.0,uniform,,,,,0.9758241758241758,0.9736842105263158
breast_cancer,Clean,0%,KNN,7.0,distance,,,,,1.0,0.9736842105263158
breast_cancer,Clean,0%,KNN,10.0,uniform,,,,,0.9758241758241758,0.9649122807017544
breast_cancer,Clean,0%,KNN,10.0,distance,,,,,1.0,0.9649122807017544
breast_cancer,Clean,0%,KNN,15.0,uniform,,,,,0.9692307692307692,0.9736842105263158
breast_cancer,Clean,0%,KNN,15.0,distance,,,,,1.0,0.9736842105263158
breast_cancer,Clean,0%,KNN,20.0,uniform,,,,,0.9692307692307692,0.9736842105263158
breast_cancer,Clean,0%,KNN,20.0,distance,,,,,1.0,0.9736842105263158
breast_cancer,Clean,0%,DecisionTree-gini,,,3.0,2.0,,,0.9758241758241758,0.9385964912280702
breast_cancer,Clean,0%,DecisionTree-entropy,,,3.0,2.0,,,0.967032967032967,0.9473684210526315
breast_cancer,Clean,0%,DecisionTree-gini,,,3.0,5.0,,,0.9758241758241758,0.9385964912280702
breast_cancer,Clean,0%,DecisionTree-entropy,,,3.0,5.0,,,0.967032967032967,0.9473684210526315
breast_cancer,Clean,0%,DecisionTree-gini,,,3.0,10.0,,,0.9758241758241758,0.9385964912280702
breast_cancer,Clean,0%,DecisionTree-entropy,,,3.0,10.0,,,0.967032967032967,0.9473684210526315
breast_cancer,Clean,0%,DecisionTree-gini,,,3.0,20.0,,,0.9758241758241758,0.9385964912280702
breast_cancer,Clean,0%,DecisionTree-entropy,,,3.0,20.0,,,0.967032967032967,0.9473684210526315
breast_cancer,Clean,0%,DecisionTree-gini,,,5.0,2.0,,,0.9934065934065934,0.9210526315789473
breast_cancer,Clean,0%,DecisionTree-entropy,,,5.0,2.0,,,0.9912087912087912,0.9298245614035088
breast_cancer,Clean,0%,DecisionTree-gini,,,5.0,5.0,,,0.9912087912087912,0.9210526315789473
breast_cancer,Clean,0%,DecisionTree-entropy,,,5.0,5.0,,,0.9868131868131869,0.9210526315789473
breast_cancer,Clean,0%,DecisionTree-gini,,,5.0,10.0,,,0.9868131868131869,0.9122807017543859
breast_cancer,Clean,0%,DecisionTree-entropy,,,5.0,10.0,,,0.9824175824175824,0.9122807017543859
breast_cancer,Clean,0%,DecisionTree-gini,,,5.0,20.0,,,0.978021978021978,0.9385964912280702
breast_cancer,Clean,0%,DecisionTree-entropy,,,5.0,20.0,,,0.967032967032967,0.9473684210526315
breast_cancer,Clean,0%,DecisionTree-gini,,,7.0,2.0,,,1.0,0.9122807017543859
breast_cancer,Clean,0%,DecisionTree-entropy,,,7.0,2.0,,,1.0,0.9122807017543859
