Dataset,Feature_Noise,Label_Noise,Model,Support_Vectors,Train_Acc,Test_Acc,Train_Size,SV_Ratio
breast_cancer,0%,0%,NaiveSVM,194,0.9824175824175824,0.9824561403508771,455,0.42637362637362636
breast_cancer,0%,0%,ProbSVM,56,0.6263736263736264,0.631578947368421,455,0.12307692307692308
breast_cancer,0%,0%,KNNSVM,192,0.9802197802197802,0.9649122807017544,455,0.421978021978022
breast_cancer,0%,0%,SKiP-average,232,0.9758241758241758,0.9736842105263158,455,0.5098901098901099
breast_cancer,5%,5%,NaiveSVM,428,0.9443447037701975,0.8785714285714286,557,0.7684021543985637
breast_cancer,5%,5%,ProbSVM,100,0.5906642728904847,0.5928571428571429,557,0.17953321364452424
breast_cancer,5%,5%,KNNSVM,312,0.9228007181328546,0.8785714285714286,557,0.5601436265709157
breast_cancer,5%,5%,SKiP-average,352,0.9156193895870736,0.8714285714285714,557,0.6319569120287253
breast_cancer,10%,10%,NaiveSVM,618,0.9129082426127527,0.8571428571428571,643,0.9611197511664075
breast_cancer,10%,10%,ProbSVM,172,0.5769828926905132,0.577639751552795,643,0.26749611197511663
breast_cancer,10%,10%,KNNSVM,420,0.8880248833592534,0.8571428571428571,643,0.6531881804043546
breast_cancer,10%,10%,SKiP-average,464,0.8724727838258165,0.8385093167701864,643,0.7216174183514774
breast_cancer,15%,15%,NaiveSVM,830,0.8804945054945055,0.8406593406593407,728,1.14010989010989
breast_cancer,15%,15%,ProbSVM,232,0.5686813186813187,0.5714285714285714,728,0.31868131868131866
breast_cancer,15%,15%,KNNSVM,552,0.8585164835164835,0.8296703296703297,728,0.7582417582417582
breast_cancer,15%,15%,SKiP-average,592,0.842032967032967,0.8351648351648352,728,0.8131868131868132
breast_cancer,20%,20%,NaiveSVM,1006,0.8560700876095119,0.82,799,1.2590738423028787
breast_cancer,20%,20%,ProbSVM,262,0.55819774718398,0.56,799,0.327909887359199
breast_cancer,20%,20%,KNNSVM,754,0.8272841051314143,0.81,799,0.9436795994993742
breast_cancer,20%,20%,SKiP-average,774,0.8110137672090113,0.81,799,0.9687108886107635
breast_cancer_pca,0%,0%,NaiveSVM,308,0.9846153846153847,0.9385964912280702,455,0.676923076923077
breast_cancer_pca,0%,0%,ProbSVM,484,0.6263736263736264,0.631578947368421,455,1.0637362637362637
breast_cancer_pca,0%,0%,KNNSVM,324,0.9692307692307692,0.9473684210526315,455,0.7120879120879121
breast_cancer_pca,0%,0%,SKiP-average,398,0.967032967032967,0.9385964912280702,455,0.8747252747252747
breast_cancer_pca,5%,5%,NaiveSVM,494,0.9541984732824428,0.8854961832061069,524,0.9427480916030534
breast_cancer_pca,5%,5%,ProbSVM,498,0.5801526717557252,0.5801526717557252,524,0.950381679389313
breast_cancer_pca,5%,5%,KNNSVM,424,0.9293893129770993,0.8854961832061069,524,0.8091603053435115
breast_cancer_pca,5%,5%,SKiP-average,508,0.9179389312977099,0.8702290076335878,524,0.9694656488549618
breast_cancer_pca,10%,10%,NaiveSVM,686,0.9133333333333333,0.86,600,1.1433333333333333
breast_cancer_pca,10%,10%,ProbSVM,578,0.565,0.5666666666666667,600,0.9633333333333334
breast_cancer_pca,10%,10%,KNNSVM,550,0.89,0.8733333333333333,600,0.9166666666666666
breast_cancer_pca,10%,10%,SKiP-average,658,0.8766666666666667,0.8533333333333334,600,1.0966666666666667
breast_cancer_pca,15%,15%,NaiveSVM,878,0.875,0.8304093567251462,680,1.2911764705882354
breast_cancer_pca,15%,15%,ProbSVM,854,0.5573529411764706,0.5555555555555556,680,1.2558823529411764
breast_cancer_pca,15%,15%,KNNSVM,720,0.8661764705882353,0.8187134502923976,680,1.0588235294117647
breast_cancer_pca,15%,15%,SKiP-average,826,0.8485294117647059,0.8128654970760234,680,1.214705882352941
breast_cancer_pca,20%,20%,NaiveSVM,1032,0.8534704370179949,0.8102564102564103,778,1.326478149100257
breast_cancer_pca,20%,20%,ProbSVM,1100,0.5501285347043702,0.5487179487179488,778,1.4138817480719794
breast_cancer_pca,20%,20%,KNNSVM,910,0.8406169665809768,0.7897435897435897,778,1.1696658097686374
breast_cancer_pca,20%,20%,SKiP-average,1014,0.8187660668380463,0.7846153846153846,778,1.3033419023136248
iris,0%,0%,NaiveSVM,90,0.975,0.9666666666666667,120,0.75
iris,0%,0%,ProbSVM,270,0.8416666666666667,0.8666666666666667,120,2.25
iris,0%,0%,KNNSVM,85,0.9666666666666667,0.9666666666666667,120,0.7083333333333334
iris,0%,0%,SKiP-average,107,0.9666666666666667,0.9666666666666667,120,0.8916666666666667
iris,5%,5%,NaiveSVM,128,0.9357142857142857,0.9166666666666666,140,0.9142857142857143
iris,5%,5%,ProbSVM,253,0.8428571428571429,0.8333333333333334,140,1.8071428571428572
iris,5%,5%,KNNSVM,113,0.9285714285714286,0.9166666666666666,140,0.8071428571428572
iris,5%,5%,SKiP-average,135,0.9142857142857143,0.9166666666666666,140,0.9642857142857143
iris,10%,10%,NaiveSVM,180,0.8869047619047619,0.9047619047619048,168,1.0714285714285714
iris,10%,10%,ProbSVM,292,0.8392857142857143,0.8571428571428571,168,1.7380952380952381
