Model,Label_Noise,Feature_Noise_Clean,Feature_Noise_10%,Feature_Noise_20%
NaiveSVM,0%,82.7,81.6,80.4
NaiveSVM,10%,73.7,72.4,72.9
NaiveSVM,20%,67.0,70.9,69.6
ProbSVM,0%,81.6,80.6,74.8
ProbSVM,10%,76.0,72.4,64.0
ProbSVM,20%,65.9,65.8,59.3
KNNSVM,0%,83.2,81.6,80.8
KNNSVM,10%,74.3,75.0,72.0
KNNSVM,20%,67.6,70.9,69.6
SKiP-multiply,0%,81.6,80.1,79.0
SKiP-multiply,10%,75.4,72.4,68.7
SKiP-multiply,20%,67.6,68.9,67.8
SKiP-minmax-multiply,0%,81.6,79.1,79.0
SKiP-minmax-multiply,10%,75.4,72.4,68.7
SKiP-minmax-multiply,20%,67.6,68.9,67.8
SKiP-average,0%,82.7,82.7,81.8
SKiP-average,10%,73.2,74.5,72.0
SKiP-average,20%,69.3,71.4,71.0
SKiP-minmax-average,0%,82.7,82.1,81.8
SKiP-minmax-average,10%,73.2,74.5,72.0
SKiP-minmax-average,20%,69.3,71.4,71.5
KNN,0%,83.8,81.1,79.9
KNN,10%,76.0,74.5,72.9
KNN,20%,64.8,67.3,71.5
Decision Tree (gini),0%,81.0,80.1,76.6
Decision Tree (gini),10%,76.0,73.5,74.3
Decision Tree (gini),20%,65.4,67.3,69.6
Decision Tree (entropy),0%,81.0,78.6,75.7
Decision Tree (entropy),10%,74.9,68.9,72.0
Decision Tree (entropy),20%,64.8,66.8,71.0
Logistic Regression,0%,81.6,74.5,68.2
Logistic Regression,10%,72.1,65.8,62.6
Logistic Regression,20%,67.0,66.3,56.1
